Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,REF,Description,Manufacturer Part,Manufacturer,Supplier Part,Supplier,LCSC Part Name,Manufacturer part,Field5,link,MF,Description_1,Price,SnapEDA_Link,MP,Availability,Check_prices
"C1, C10, C11, C12, C13, C16, C2, C3, C4, C5, C6, C8",12,104,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,C49678,,,,,,,,,,,,,,,,
C14,1,10uF ±10% 16V,CL21A226MAQNNNE,,,,tht,,Capacitance: Tolerance:±10% Tolerance:±10% Voltage Rated: Temperature Coefficient:,CL21A106KOQNNNE,SAMSUNG(三星),C1713,LCSC,10uF ±10% 16V,,,,,,,,,,
"C15, C17",2,10uF ±10% 10V,CL21A226MAQNNNE,,,,tht,,Capacitance: Tolerance:±10% Tolerance:±10% Voltage Rated: Temperature Coefficient:,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC,10uF ±10% 10V,,,,,,,,,,
C18,1,4.7uF,CL21A226MAQNNNE,,,,tht,,Capacitance: Tolerance:±10% Tolerance:±10% Voltage Rated: Temperature Coefficient:,CL10A475KP8NNNC,SAMSUNG(三星),C1705,LCSC,4.7uF ±10% 10V,,,,,,,,,,
C7,1,1uF ±10% 50V,CL21A226MAQNNNE,,,,tht,,Capacitance: Tolerance:±10% Tolerance:±10% Voltage Rated: Temperature Coefficient:,CL10A105KB8NNNC,SAMSUNG(三星),C15849,LCSC,1uF ±10% 50V,,,,,,,,,,
C9,1,22uF ±20% 25V,CL21A226MAQNNNE,,,,tht,,Capacitance: Tolerance:±20% Tolerance:±20% Voltage Rated: Temperature Coefficient:,CL21A226MAQNNNE,SAMSUNG(三星),C45783,LCSC,22uF ±20% 25V,,,,,,,,,,
CARD1,1,micro SD-CARD TF PUSH,TF-SMD_TF-PUSH,,,,tht,,Card Connection Mode:Self-bouncing Card Type:MicroSD card (TF card) Connector Type:Card Slot Additional Card Detection Pins:None Supplementary Features:- Maximum Body Height:2mm Operating Temperature Range:-20°C~+90°C Operating Temperature Range:-20°C~+90°C,MEM2075-00-140-01-A,GCT,2073-MEM2075-00-140-01-ATR-ND,DIGIKEY,MEM2075-00-140-01-A,,,,,,,,,,
"D1, D2, D3",3,RB168MM-40TR,RB168MM-40TR___SOD-123FL_L2.6-W1.6-LS3.5-RD,,,,tht,,Diode Configuration:Independent Type Forward Voltage (Vf@If):600mV@1A Reverse Voltage (Vr):40V Rectified Current:1A Reverse Leakage Current (Ir):50nA@40V,RB168MM-40TR,ROHM(罗姆),C509936,LCSC,电压:40V 电流:1A,,,,,,,,,,
H6,1,Header-Female-2.54_1x6,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",2.54-1*6P母,BOOMELE(博穆精密),C40877,LCSC,间距:2.54mm 1x6P 直插,,,,,,,,,,
"J1, J2, J3, J4",4,SM04B-SRSS-TB,CONN_SM04B-SRSS-TB_JST,,,,smt,,CONN HEADER SMD R/A 4POS 1MM,,,,,,SM04B-SRSS-TB,455-SM04B-SRSS-TBTR-ND,https://www.digikey.it/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710?s=N4IgTCBcDaIMoFkAMAWAQgWjgJTnDAKmiALoC%2BQA,,,,,,,
LED1,1,TJ-S1615CY6TGLCCSRGB-A5,LED-ARRAY-SMD_4P-L1.6-W1.5-BL-FD,,,,tht,,Diode Configuration:Common Cathode Luminous Intensity:G:300mcd~800mcd；B:60mcd~200mcd；R:60mcd~200mcd Viewing Angle:120° Lens Color:Colorless Transparent Lens Installation Method:Positive Stick Operating Temperature:-40°C~+80°C Operating Temperature:-40°C~+80°C,TJ-S1615CY6TGLCCSRGB-A5,TOGIALED(统佳),C601684,LCSC,RGB三色,,,,,,,,,,
L_B-B1,1,2.2uH ±20% 3.2A,SWPA_2_2_IND-SMD_L4.0-W4.0_SWPA4018S,,,,tht,,Inductance: Tolerance:±20% Tolerance:±20% Rated Current: Current - Saturation(Isat):3.2A DC Resistance(DCR): Type:- Ratings:-,SWPA4018S2R2MT,Sunlord(顺络),C50543,LCSC,2.2uH ±20% 3.2A,,,,,,,,,,
PowerConn1,1,Header-Female-2.54_1x2,PinSocket_1x03_P2.54mm_Vertical,,,,tht,,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",2.54-1*2P母,BOOMELE(博穆精密),C49661,LCSC,间距:2.54mm 1x2P 直插,,,,,,,,,,
Q1,1,PMOSFET-DMP1045U-7,DMP1045_SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,,,tht,,"Type:1 Piece P-Channel Drain Source Voltage (Vdss): Continuous Drain Current (Id): Drain Source On Resistance (RDS(on)@Vgs,Id):31mΩ@4.5V,4A Power Dissipation (Pd): Gate Threshold Voltage (Vgs(th)@Id):1V@250uA Total Gate Charge (Qg@Vgs):15.8nC@4.5V Input C",DMP1045U-7,DIODES(美台),C177033,LCSC,1个P沟道 耐压:12V 电流:4A,,,,,,,,,,
"Q10, Q4, Q6, Q8",4,P-MOSFET-ENH-BSS84LT1G,BSS84_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,,,tht,,"Type:1个PChannel Drain Source Voltage (Vdss): Continuous Drain Current (Id): Power Dissipation (Pd): Drain Source On Resistance (RDS(on)@Vgs,Id):10Ω@5V,100mA Gate Threshold Voltage (Vgs(th)@Id):2V@250uA Input Capacitance (Ciss@Vds):30pF@5V Operating Temper",BSS84LT1G,onsemi(安森美),C82079,LCSC,1个P沟道 耐压:50V 电流:130mA,,,,,,,,,,
"Q11, Q5, Q7, Q9",4,N-MOSFET-ENH-2N7002,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR_2N7002,,,,tht,,"Type:1 N-Channel Drain Source Voltage (Vdss): Continuous Drain Current (Id): Drain Source On Resistance (RDS(on)@Vgs,Id):5Ω@10V Power Dissipation (Pd):225mW Gate Threshold Voltage (Vgs(th)@Id):2.5V@250uA Input Capacitance (Ciss@Vds):50pF Reverse Transfer",2N7002,CJ(江苏长电/长晶),C8545,LCSC,1个N沟道 耐压:60V 电流:115mA,,,,,,,,,,
"Q2, Q3",2,2N3904S-RTK/PS,2N3904S_SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,,,,tht,,"type:NPN Current - Collector(Ic): Collector - Emitter Voltage VCEO:40V Pd - Power Dissipation:350mW DC Current Gain:100@10mA,1V DC Current Gain:100@10mA,1V Transition frequency(fT):300MHz Current - Collector Cutoff:- Vce Saturation(VCE(sat)):300mV Operati",2N3904S-RTK/PS,KEC,C18536,LCSC,2N3904S-RTK/PS,,,,,,,,,,
"R1, R19, R20, R22, R26, R29, R32, R6, R7, R8, R9",11,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,C17414,,,,,,,,,,,,,,,,
"R10, R11, R12, R13, R17, R18",6,7.5kΩ,R0603,,,,tht,,Type:Thick Film Resistors Resistance:7.5kΩ Tolerance:±1% Tolerance:±1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:±100ppm/°C Temperature Coefficient:±100ppm/°C Operating Temperature Range:-55°C~+155°C Operating Temperature Range:-55°C~+155°C,0603WAF7501T5E,UNI-ROYAL(厚声),C23234,LCSC,7.5kΩ ±1% 100mW,,,,,,,,,,
R14,1,150Ω ±1% 62.5mW,R0402,,,,tht,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 150Ω 0402 Chip Resistor - Surface,RC0402FR-07150RL,YAGEO ,C138054,,150Ω ±1% 62.5mW,,,,,,,,,,
"R15, R16",2,36Ω ±1% 62.5mW,R0402,,,,tht,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 36Ω 0402 Chip Resistor - Surface Mount ROHS,FRC0402J360 TS,FOJAN,C2906935,,36Ω ±1% 62.5mW,,,,,,,,,,
R2,1,22K1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,C2930182,,,,,,,,,,,,,,,,
"R21, R25, R28, R31",4,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,C17408,,,,,,,,,,,,,,,,
R23,1,220Ω,R0603,,,,tht,C1226,Type:Thick Film Resistors Resistance: Tolerance:±5% Tolerance:±5% Power(Watts): Overload Voltage (Max): Temperature Coefficient:±100ppm/°C Temperature Coefficient:±100ppm/°C Operating Temperature Range:-55°C~+155°C Operating Temperature Range:-55°C~+155°C,0603WAJ0221T5E,UNI-ROYAL(厚声),C1226,LCSC,220Ω ±5% 100mW,,,,,,,,,,
"R24, R27, R30",3,4.7kΩ ±1% 100mW,R0603,,,,tht,,Type:Thick Film Resistors Resistance:4.7kΩ Tolerance:±1% Tolerance:±1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:±100ppm/°C Temperature Coefficient:±100ppm/°C Operating Temperature Range:-55°C~+155°C Operating Temperature Range:-55°C~+155°C,0603WAF4701T5E,UNI-ROYAL(厚声),C23162,LCSC,4.7kΩ ±1% 100mW,,,,,,,,,,
R3,1,47K5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,C245335,,,,,,,,,,,,,,,,
"R4, R5",2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,C17513,,,,,,,,,,,,,,,,
"SW1, boot1",2,~,SW_Push_1P1T-SH_NO_CK_KMR2xxG,,,,smt,,Circuit:SPST - normally open Actuator Style:Round Button Operating Force:120gf Mounting Style:Standing paste Contact Current:50mA Voltage Rating (DC):32V Pin Style:Gullwing Operating Temperature:-40°C~+85°C Operating Temperature:-40°C~+85°C,KMR211NGLFS,C&K,C221676,LCSC,KMR211NGLFS,,,,,,,,,,
"TP10, TP11, TP12, TP13, TP14, TP15, TP18, TP2, TP6, TP7, TP8, TP9",12,TestPoint,TestPoint_Pad_D1.0mm,,,,tht,,test point,,,,,,,,,,,,,,,
U1,1,USB4110GFA,GCT_USB4110GFA,None,,,smt,,USB-C Connector,,,,,,,,,GCT,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole",None,https://www.snapeda.com/parts/USB4110-GF-A/Global+Connector+Technology/view-part/?ref=snap,USB4110-GF-A,In Stock,https://www.snapeda.com/parts/USB4110-GF-A/Global+Connector+Technology/view-part/?ref=eda
U3,1,USBLC6-2SC6,SOT-23-6,,,,smt,C2827654,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",,,,,,,,,,,,,,,
U5,1,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,,,,smt,C964632,,,,,,,,,,,,,,,,
U6,1,~,ESP32-WROVER,,,,smt,,,ESP32-WROVER-E-N4R8,ESPRESSIF(乐鑫),5407-ESP32-WROVER-E-N4R8TR-ND,https://www.digikey.it/en/products/detail/le-plus-plus-hong-kong-limited/ESP32-WROVER-E-N4R8/11613172?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart,通用型Wi-Fi+BT+BLE MCU模组,,,,,,,,,,
U7,1,TPS63001DRCR,TPS74901DRCR_tps6300,,,,smt,,Function:Boost type Output Type:Fixed Voltage - Supply:1.8V~5.5V Voltage - Supply:1.8V~5.5V Output Voltage:3.3V Output Voltage:3.3V Output Current:- Frequency - Switching:1.5MHz Frequency - Switching:1.5MHz Operating Temperature:-40°C~+85°C@(TA) Operating T,TPS63001DRCR,TI(德州仪器),C28060,LCSC,高效率单电感升降压转换器,,,,,,,,,,
Watermeter_WM1,1,Header-Female-2.54_1x2,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,,,,smt,,"Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",2.54-1*2P母,BOOMELE(博穆精密),C49661,LCSC,间距:2.54mm 1x2P 直插,,,,,,,,,,
